country_code,year,model_count,ai_policy_lag1,mean_ai_policy_lag1,log_gdp,internet_users_pct,regulatory_quality_filled,regulatory_quality_was_filled
ABW,2017,0,0.0,0.0,21.85222235814722,97.17,2.0108307719230623,0
AFG,2017,0,0.0,0.0,23.654643918923277,13.5,-2.3195530652999903,0
AFG,2018,0,0.0,0.0,23.616590048027454,16.799999240000002,-1.937762188911432,0
AFG,2019,0,0.0,0.0,23.657093157947497,17.60000038,-1.8962029337883013,0
AFG,2020,0,0.0,0.0,23.71679213172489,17.04850006,-2.3656565189361585,0
AFG,2021,0,0.0,0.0,23.380723932232364,16.51429939,-2.237761616706844,0
AFG,2022,0,0.0,0.0,23.397224390521988,15.86629963,-1.780528736114506,0
AFG,2023,0,0.0,0.0,23.56539430159615,15.92840004,-0.8864976763725249,0
AFG,2024,0,0.0,0.0,23.601256198258795,16.09499931,-0.8864976763725249,1
AGO,2017,0,0.0,0.0,25.17329683899689,26.0,-1.7712630152702336,0
AGO,2018,0,0.0,0.0,25.228682667478445,29.0,-1.3566934227943424,0
AGO,2019,0,0.0,0.0,25.120104896581772,32.12939835,-1.4135239243507385,0
AGO,2020,0,0.0,0.0,24.79249827611336,33.32089996,-1.45212841629982,0
AGO,2021,0,0.0,0.0,25.08360810013728,34.55649948,-1.1368101835250852,0
AGO,2022,0,0.0,0.0,25.5771222397502,35.83800125,-0.8493780016899113,0
AGO,2023,0,0.0,0.0,25.38710437548977,37.88589859,-0.5329717278480531,0
AGO,2024,0,0.0,0.0,25.35877644239156,40.70479965,-0.5329717278480531,1
ALB,2017,0,0.0,0.0,23.307887227626924,62.40000153,0.3787894457578665,0
ALB,2018,0,0.0,0.0,23.45630183235666,65.40000153,0.4384494930505753,0
ALB,2019,0,0.0,0.0,23.46958191177225,68.5503911218006,0.4665892332792277,0
ALB,2020,0,0.0,0.0,23.44728510077335,72.23767711,0.3815135166049008,0
ALB,2021,0,0.0,0.0,23.615413215995517,79.32371752,0.3040293529629714,0
ALB,2022,0,0.0,0.0,23.668612141940997,82.61367544,0.2230953514575954,0
ALB,2023,0,0.0,0.0,23.879893538747773,83.13559161,0.1203675642609594,0
ALB,2024,0,0.0,0.0,24.020489676336005,85.86389923,0.1203675642609594,1
AND,2017,0,0.0,0.0,21.82193215122962,91.5674670273926,2.0416219711303683,0
AND,2018,0,0.0,0.0,21.892156360824508,93.5,2.019829535484308,0
AND,2019,0,0.0,0.0,21.872301668719885,90.71869659,2.0786568641662586,0
AND,2020,0,0.0,0.0,21.784868697559507,93.20570374,2.272580277919776,0
AND,2021,0,0.0,0.0,21.924629499245267,93.89749908,2.3118468046188405,0
AND,2022,0,0.0,0.0,21.94132276477844,94.05169678,1.957667636871338,0
AND,2023,0,0.0,0.0,22.054329512814306,94.21499634,0.945382034778594,0
AND,2024,0,0.0,0.0,22.12056187671713,94.39759827,0.945382034778594,1
ARE,2017,0,1.0,5.5,26.72310783521138,94.8199225383446,1.7044358730316127,0
ARE,2018,0,2.0,5.5,26.811312489076133,98.4500017817194,1.5664421141147615,0
ARE,2019,0,3.0,5.5,26.79614035356726,99.1499979561243,1.64866760969162,0
ARE,2020,0,7.0,5.5,26.601454670904054,100.0,1.8298366308212324,0
ARE,2021,0,7.0,5.5,26.769316297603236,100.0,1.7127405166626015,0
ARE,2022,0,8.0,5.5,26.96042455727483,100.0,1.4486930370330884,0
ARE,2023,5,8.0,5.5,26.98212479991945,100.0,0.729673993587497,0
ARE,2024,4,8.0,5.5,27.037402331604284,100.0,0.729673993587497,1
ARG,2017,0,0.0,5.5,27.190387367439214,74.2949068657957,-0.3293897137045861,0
ARG,2018,0,0.0,5.5,26.986320978507653,77.7,-0.3294564694166189,0
ARG,2019,0,3.0,5.5,26.827511338168037,79.9469520347551,-0.7653914213180543,0
ARG,2020,0,4.0,5.5,26.67843072240923,85.51438646,-0.8427296400070192,0
ARG,2021,0,9.0,5.5,26.910634457502567,87.15070683,-1.0690852284431458,0
ARG,2022,0,9.0,5.5,27.17530494322959,88.37535691,-0.9765920281410216,0
ARG,2023,0,9.0,5.5,27.1994096843414,89.22897166,-0.3377747744321825,0
ARG,2024,0,10.0,5.5,27.18217677030848,89.66715228,-0.3377747744321825,1
ARM,2017,0,0.0,0.375,23.167997740083894,64.7448843250726,0.3920510143041608,0
ARM,2018,0,0.0,0.375,23.2456240633512,68.2450522610271,0.5990593492984776,0
ARM,2019,0,0.0,0.375,23.334753046679023,66.5439496866159,0.4164242118597037,0
ARM,2020,0,0.0,0.375,23.26026659822021,76.50770055,0.4097659617662423,0
ARM,2021,0,0.0,0.375,23.35363615989458,78.61225758,0.2281056076288215,0
ARM,2022,0,1.0,0.375,23.69437270649914,77.02767465,-0.0267103232443332,0
ARM,2023,0,1.0,0.375,23.90903905499352,79.99663036,0.0333445131778716,0
ARM,2024,1,1.0,0.375,23.979640716072307,81.33930206,0.0333445131778716,1
ATG,2017,0,0.0,0.0,21.15170211294256,70.54419708,0.4067771032452582,0
ATG,2018,0,0.0,0.0,21.231004478660186,70.81790161,0.6855065077543261,0
ATG,2019,0,0.0,0.0,21.26933204141436,71.09259796,0.8035286337137219,0
ATG,2020,0,0.0,0.0,21.068015887050148,71.36840057,0.8505676746368408,0
ATG,2021,0,0.0,0.0,21.194597287950227,71.64530182,0.6414151579141617,0
ATG,2022,0,0.0,0.0,21.34228994552353,71.9233017,0.4047217547893519,0
ATG,2023,0,0.0,0.0,21.4431018296792,72.12409973,0.3822257459163668,0
ATG,2024,0,0.0,0.0,21.49446913783668,72.73040009,0.3822257459163668,1
AUS,2017,1,3.0,23.0,27.9168694240223,86.5450488476768,3.270349514484404,0
AUS,2018,0,5.0,23.0,27.990892431158603,90.0082016,3.225700867176055,0
AUS,2019,2,15.0,23.0,27.966313802122425,93.60990143,3.1721521019935666,0
AUS,2020,0,22.0,23.0,27.918705534613643,94.6934967,3.0862811088562063,0
AUS,2021,0,25.0,23.0,28.076102687846458,96.97219849,3.1152742266655,0
AUS,2022,0,33.0,23.0,28.15907401566305,96.11940002,2.652850604057317,0
AUS,2023,0,38.0,23.0,28.18171220532849,96.1160965,1.359543883800508,0
AUS,2024,2,43.0,23.0,28.19464170345416,96.13140106,1.359543883800508,1
AUT,2017,0,3.0,6.75,26.751366360933563,87.9355865856062,2.429402971267697,0
AUT,2018,0,5.0,6.75,26.83823545089368,87.4791372262556,2.592691373825068,0
AUT,2019,0,6.0,6.75,26.816798681641288,87.7522047870069,2.462240195274347,0
AUT,2020,1,8.0,6.75,26.79722608427487,87.52942813,2.3748809933662454,0
AUT,2021,0,8.0,6.75,26.89802305911201,92.52915104,2.2811938047408984,0
AUT,2022,1,8.0,6.75,26.88282897853689,93.61409139,1.7964797019958454,0
AUT,2023,5,8.0,6.75,26.970671196155305,95.33467117,0.952958810329435,0
AUT,2024,1,8.0,6.75,27.005141330615327,94.91974877,0.952958810329435,1
AZE,2017,0,0.0,0.0,24.433579609756663,79.0,-0.6286197692155842,0
AZE,2018,0,0.0,0.0,24.57580355986464,79.7999954887896,-0.5309432655572891,0
AZE,2019,0,0.0,0.0,24.598090177620445,81.0999990651547,-0.3776658877730365,0
AZE,2020,0,0.0,0.0,24.477300809316045,84.59999573,-0.5675230056047439,0
AZE,2021,0,0.0,0.0,24.72741964175031,85.99998954,-0.1089571841061115,0
AZE,2022,0,0.0,0.0,25.09027363373582,88.0,-0.1446818828582763,0
AZE,2023,0,0.0,0.0,25.005865299208427,89.0,-0.0761666975915432,0
AZE,2024,0,0.0,0.0,25.0330711801033,90.43979645,-0.0761666975915432,1
BDI,2017,0,0.0,0.0,21.764023778495197,2.6607485347534,-1.474410390853882,0
BDI,2018,0,0.0,0.0,21.79259053682504,4.019499779,-1.7110962152481082,0
BDI,2019,0,0.0,0.0,21.77811964547298,6.072199821,-1.6803620576858525,0
BDI,2020,0,0.0,0.0,21.88277124271938,6.430099964,-1.799476313590998,0
BDI,2021,0,0.0,0.0,21.954404677511334,6.777999878,-1.6980724096298192,0
BDI,2022,0,0.0,0.0,22.11473099558159,7.144800186,-1.3264799594879153,0
BDI,2023,0,0.0,0.0,21.95277725931987,7.172299862,-0.6900111198425292,0
BDI,2024,0,0.0,0.0,21.83432693609264,8.595999718,-0.6900111198425292,1
BEL,2017,2,3.0,12.75,26.939689820354108,87.6796808175598,2.0994617700576765,0
BEL,2018,3,8.0,12.75,27.019709951201133,88.6473429951691,2.142703008651737,0
BEL,2019,0,9.0,12.75,27.008754200830037,90.275428012141,2.173966813087466,0
BEL,2020,0,16.0,12.75,26.995566212181732,91.52641629,2.2873972535133364,0
BEL,2021,0,16.0,12.75,27.11772982530592,92.78867618,2.267345392704014,0
BEL,2022,0,16.0,12.75,27.10588434712285,94.00783071,1.754137277603144,0
BEL,2023,0,17.0,12.75,27.201436503681236,94.62625074,0.8177573680877721,0
BEL,2024,0,17.0,12.75,27.232009832944577,95.77579144,0.8177573680877721,1
BEN,2017,0,0.0,0.0,23.264998202774056,18.7,-0.8851214826107026,0
BEN,2018,0,0.0,0.0,23.38089310793688,19.0,-0.6651667922735204,0
BEN,2019,0,0.0,0.0,23.389916537461065,20.50099945,-0.7546447873115538,0
BEN,2020,0,0.0,0.0,23.476081726546937,22.12059975,-0.8172595769166943,0
BEN,2021,0,0.0,0.0,23.59613099637272,28.20470047,-0.7566292643547061,0
BEN,2022,0,0.0,0.0,23.58119504100496,30.53730011,-0.4877105116844185,0
BEN,2023,0,0.0,0.0,23.7025277661885,32.39400101,-0.2070854097604754,0
BEN,2024,0,0.0,0.0,23.790511176593952,33.98379898,-0.2070854097604754,1
BFA,2017,0,0.0,0.0,23.36993381874788,7.790400028,-0.812689852714539,0
BFA,2018,0,0.0,0.0,23.488959984968307,8.498900414,-0.6851595818996432,0
BFA,2019,0,0.0,0.0,23.497903303037223,9.27180600953186,-0.7150912314653393,0
BFA,2020,0,0.0,0.0,23.598242503583144,12.97319984,-0.816320872306824,0
BFA,2021,0,0.0,0.0,23.703758387806896,18.1522007,-0.8123159587383268,0
BFA,2022,0,0.0,0.0,23.647632143015773,25.3987999,-0.6556279480457307,0
BFA,2023,0,0.0,0.0,23.72428724690789,25.36120033,-0.3399434864521024,0
BFA,2024,0,0.0,0.0,23.8646779361228,28.25270081,-0.3399434864521024,1
BGD,2017,0,0.0,0.0,26.40593514444772,21.5,-1.3999001502990722,0
BGD,2018,0,0.0,0.0,26.49583639194016,25.56509972,-1.441483700275421,0
BGD,2019,0,0.0,0.0,26.584711827344105,30.38310051,-1.591461890935898,0
BGD,2020,0,0.0,0.0,26.6474666659042,36.10910034,-1.5399792671203614,0
BGD,2021,0,0.0,0.0,26.754603883882176,38.91744466,-1.4386091232299805,0
BGD,2022,0,0.0,0.0,26.854778566074472,41.61650085,-1.2987224817276,0
BGD,2023,0,0.0,0.0,26.80414899948617,44.50274195,-0.6399070858955384,0
BGD,2024,0,0.0,0.0,26.832778789094657,53.42171316,-0.6399070858955384,1
BGR,2017,0,0.0,1.0,24.80369183456242,63.4101013837926,1.1214112699031829,0
BGR,2018,0,0.0,1.0,24.914443761926144,64.78201069118,1.0327630400657657,0
BGR,2019,0,0.0,1.0,24.950263590071,67.9469809417603,0.9061532497406002,0
BGR,2020,0,0.0,1.0,24.97874347506328,70.16248359,0.787618580460548,0
BGR,2021,0,2.0,1.0,25.15858351598754,75.27144583,0.7420636266469959,0
BGR,2022,0,2.0,1.0,25.228734849365956,79.12686326,0.4489616692066198,0
BGR,2023,0,2.0,1.0,25.350241127608616,80.38956462,0.285527688264847,0
BGR,2024,0,2.0,1.0,25.453738707623813,82.438955,0.285527688264847,1
BHR,2017,0,0.0,0.0,24.33970399388007,95.8781357543453,0.6853673577308657,0
BHR,2018,0,0.0,0.0,24.401286010003037,98.6446725799886,0.692067790031432,0
BHR,2019,0,0.0,0.0,24.423253577724783,99.7015043807778,0.8057189017534258,0
BHR,2020,0,0.0,0.0,24.30226437875169,99.67103159,1.0487199187278748,0
BHR,2021,0,0.0,0.0,24.43293303997361,100.0,1.4252250313758852,0
BHR,2022,0,0.0,0.0,24.56181863734424,100.0,1.358886909484863,0
BHR,2023,0,0.0,0.0,24.556078102349726,100.0,0.754589700698855,0
BHR,2024,0,0.0,0.0,24.57788709167152,100.0,0.754589700698855,1
BHS,2017,0,0.0,0.0,23.244737432868547,80.59999847,0.1849686622619625,0
BHS,2018,0,0.0,0.0,23.27420988399572,83.0,0.28846482783556,0
BHS,2019,0,0.0,0.0,23.309299051860176,90.69329834,-0.0954935770481824,0
BHS,2020,0,0.0,0.0,23.061526906392928,92.4437027,0.0054578512208536,0
BHS,2021,0,0.0,0.0,23.21125107634401,92.34980011,0.1055001698434352,0
BHS,2022,0,0.0,0.0,23.354924434751982,92.2559967,-0.2050803571939471,0
BHS,2023,0,0.0,0.0,23.4492410868034,92.38729858,0.0050286267418414,0
BHS,2024,0,0.0,0.0,23.485349574541043,92.47270203,0.0050286267418414,1
BIH,2017,0,0.0,0.0,23.631607014278,64.8920205128383,-0.0937532227486371,0
BIH,2018,0,0.0,0.0,23.742912763637523,70.1201350394885,-0.236556610465049,0
BIH,2019,0,0.0,0.0,23.74284202081714,69.9463476317266,-0.2140668533742422,0
BIH,2020,0,0.0,0.0,23.730236639483778,73.21175294,-0.305337955057621,0
BIH,2021,0,0.0,0.0,23.88758883444361,75.67620138,-0.3267100289463992,0
BIH,2022,0,0.0,0.0,23.923352796843776,78.8455371,-0.2206614464521404,0
BIH,2023,0,0.0,0.0,24.040804814061,83.3771539,-0.0989037781953808,0
BIH,2024,0,0.0,0.0,24.115670109052463,86.10091103,-0.0989037781953808,1
BLR,2017,0,0.0,0.0,24.72559389469342,74.4364454136036,-1.4554837524890898,0
BLR,2018,0,0.0,0.0,24.818127375117747,79.1298866919307,-1.3815926253795623,0
BLR,2019,0,0.0,0.0,24.888537386988688,82.7891520910901,-1.1413499772548672,0
BLR,2020,0,0.0,0.0,24.840214219469782,85.08791245,-1.3551960349082948,0
BLR,2021,0,0.0,0.0,24.9670894285506,86.88841196,-1.5763512969017026,0
BLR,2022,0,0.0,0.0,25.024288196601358,89.50733148,-1.863699698448182,0
BLR,2023,0,0.0,0.0,25.00655939547784,91.51249979,-0.993673443794248,0
BLR,2024,0,0.0,0.0,25.087533705287857,94.26182128,-0.993673443794248,1
BLZ,2017,0,0.0,0.0,21.541294466376545,48.8771019,-0.9400786101818082,0
BLZ,2018,0,0.0,0.0,21.550032240648665,53.59360123,-1.1290371298789976,0
BLZ,2019,0,0.0,0.0,21.590865296761148,58.76520157,-0.9482995510101316,0
BLZ,2020,0,0.0,0.0,21.439780166692238,64.43589783,-0.931805884838104,0
BLZ,2021,0,0.0,0.0,21.610583370079816,70.65370178,-0.718545061349869,0
BLZ,2022,0,0.0,0.0,21.769392664738465,69.98329926,-0.6142728626728063,0
BLZ,2023,0,0.0,0.0,21.839181767031796,70.18720245,-0.3014079958200458,0
BLZ,2024,0,0.0,0.0,21.88755094069741,80.00582262,-0.3014079958200458,1
BMU,2017,0,0.0,0.0,22.689302930449312,98.37,1.416244423389435,0
BOL,2017,0,0.0,0.0,24.550328587916848,43.83229828,-1.6868080794811249,0
BOL,2018,0,0.0,0.0,24.603055667334427,44.2861422024283,-1.707232517004013,0
BOL,2019,0,0.0,0.0,24.616241459025485,47.4748191121692,-1.698569333553317,0
BOL,2020,0,0.0,0.0,24.46837873471629,59.94010155,-1.754970645904545,0
BOL,2021,0,0.0,0.0,24.591919698336422,65.9773785,-1.982164776325225,0
BOL,2022,0,0.0,0.0,24.65428883301057,72.62270355,-1.694750738143918,0
BOL,2023,0,0.0,0.0,24.681030687927763,77.30039978,-0.823983144760132,0
BOL,2024,0,0.0,0.0,24.72843900835443,79.70469666,-0.823983144760132,1
BRA,2017,0,0.0,6.0,28.35543194434661,67.4712845236305,-0.218195584416389,0
BRA,2018,0,0.0,6.0,28.28174809740014,70.4342825404361,-0.4945136308670051,0
BRA,2019,0,2.0,6.0,28.258716401050087,73.9124399133589,-0.2027590371668335,0
BRA,2020,0,5.0,6.0,28.02042948940731,81.34269353,-0.1845887668430806,0
BRA,2021,0,7.0,6.0,28.14423233124984,80.68989314,-0.2034981653094295,0
BRA,2022,0,10.0,6.0,28.29983663906367,80.52775094,-0.3086126834154126,0
BRA,2023,0,12.0,6.0,28.415439314251884,84.15060238,-0.2075347483158109,0
BRA,2024,0,12.0,6.0,28.413012896995863,84.46347227,-0.2075347483158109,1
BRB,2017,0,0.0,0.0,22.4892598082484,71.14849854,0.8187946200370785,0
BRB,2018,0,0.0,0.0,22.515208880990244,70.72650146,0.90707368850708,0
BRB,2019,0,0.0,0.0,22.54243143709373,70.30709839,0.6813473969697956,0
BRB,2020,0,0.0,0.0,22.41026589685306,69.89009857,0.7989587366580967,0
BRB,2021,0,0.0,0.0,22.506472266322053,69.4756012,0.9388017654418948,0
BRB,2022,0,0.0,0.0,22.6528498512678,69.06359863,0.6671004235744478,0
BRB,2023,0,0.0,0.0,22.700570570955925,69.67510223,0.3521754086017608,0
BRB,2024,0,0.0,0.0,22.751094487120348,70.36470032,0.3521754086017608,1
BRN,2017,0,0.0,0.0,23.218796521713863,94.86669922,1.19916210770607,0
BRN,2018,0,0.0,0.0,23.330899458093143,95.0,1.1529005944728854,0
BRN,2019,0,0.0,0.0,23.32367405995961,95.0,1.064692455530167,0
BRN,2020,0,0.0,0.0,23.208655674479036,96.30549622,1.54165900349617,0
BRN,2021,0,0.0,0.0,23.36278710302977,97.62879944,1.680020618438721,0
BRN,2022,0,0.0,0.0,23.5375683439464,98.97042579,1.4938607931137105,0
BRN,2023,0,0.0,0.0,23.43763500831496,98.97039795,0.6838241457939149,0
BRN,2024,0,0.0,0.0,23.45378234287051,96.29828801,0.6838241457939149,1
BTN,2017,0,0.0,0.0,21.67544790312354,54.33549881,-0.5743606328964233,0
BTN,2018,0,0.0,0.0,21.67234731623373,63.48680115,-0.6272951126098633,0
BTN,2019,0,0.0,0.0,21.7296471759472,74.17939758,-0.597038987278938,0
BTN,2020,0,0.0,0.0,21.62245286438827,76.85079956,-0.5486061692237849,0
BTN,2021,0,0.0,0.0,21.74168091938049,85.63688389000001,-0.678562542796135,0
BTN,2022,0,0.0,0.0,21.78736526428432,88.35620117,-0.5347586095333103,0
BTN,2023,0,0.0,0.0,21.826167841545207,90.02140045,-0.2807215869426724,0
BTN,2024,0,0.0,0.0,21.93121189505985,91.27739716,-0.2807215869426724,1
BWA,2017,0,0.0,0.0,23.502405297222072,43.57640076,1.0146848380565645,0
BWA,2018,0,0.0,0.0,23.55835642881897,46.12509918,1.0633980572223665,0
BWA,2019,0,0.0,0.0,23.540224740353427,48.82279968,0.850027298927307,0
BWA,2020,0,0.0,0.0,23.428662628055417,51.67819977,0.9006066024303434,0
BWA,2021,0,0.0,0.0,23.65446930858072,54.70069885,1.025426685810089,0
BWA,2022,0,0.0,0.0,23.734928082027647,57.9,0.8694609880447386,0
